iter,CFL,dt_min,dt_avg,R2_rho,R2_rhou,R2_rhov,R2_rhoE,CL,CD,CM
0,7.2,2.46208e-06,0.0045022,1.87134e-05,1.59545e-05,3.05486e-05,6.88159e-05,3.33775e-16,0.365591,0.0215743
10,7.2,2.63212e-06,0.0045023,2.47156e-05,1.89464e-05,2.23833e-05,8.69174e-05,5.52431e-18,0.114457,0.00675433
20,7.2,2.62117e-06,0.00450232,2.90904e-05,2.21518e-05,2.18204e-05,9.96993e-05,-3.20249e-15,0.0418381,0.00246895
30,7.2,2.62114e-06,0.00450231,3.44039e-05,2.68581e-05,2.52216e-05,0.000117287,1.70576e-15,0.0164346,0.000969841
40,7.2,2.63826e-06,0.00450232,4.15986e-05,3.21504e-05,3.11439e-05,0.000141599,1.54823e-15,-0.00388296,-0.000229141
50,7.2,2.64131e-06,0.00450233,5.08288e-05,3.79137e-05,3.90238e-05,0.0001723,3.49885e-15,-0.0190143,-0.00112208
60,7.2,2.63893e-06,0.00450231,6.21133e-05,4.40792e-05,4.7961e-05,0.000208664,-6.74678e-16,-0.027713,-0.0016354
70,7.2,2.63213e-06,0.00450221,7.41606e-05,4.52698e-05,5.3303e-05,0.000242668,-1.00507e-16,-0.0286312,-0.00168958
80,7.2,2.62781e-06,0.00450217,8.14251e-05,4.07837e-05,4.51418e-05,0.000252669,-1.24742e-16,-0.0159059,-0.000938639
90,7.2,2.63747e-06,0.00450226,8.52729e-05,4.55557e-05,3.54288e-05,0.000258275,2.93858e-16,0.0204216,0.00120512
100,7.2,2.65063e-06,0.00450237,8.75463e-05,4.71608e-05,3.73591e-05,0.000265302,3.98142e-15,0.0284172,0.00167696
110,7.2,2.65333e-06,0.00450245,8.95926e-05,4.60084e-05,4.78495e-05,0.000274818,-8.58762e-16,0.0079527,0.000469305
120,7.2,2.64594e-06,0.00450252,9.53177e-05,4.79552e-05,5.71599e-05,0.000299174,1.20822e-16,-0.00984849,-0.00058118
130,7.2,2.64245e-06,0.00450241,0.000105027,6.13059e-05,6.66102e-05,0.000338733,5.77379e-16,-0.0070563,-0.000416407
140,7.2,2.64301e-06,0.00450244,0.000116651,8.23256e-05,7.92676e-05,0.000381177,-1.28004e-15,-0.00225646,-0.000133158
150,7.2,2.64088e-06,0.00450205,0.000135075,0.0001115,8.238e-05,0.000447637,9.36281e-16,-0.00104182,-6.14801e-05
160,7.2,2.63813e-06,0.00450222,0.000150259,9.56663e-05,8.42386e-05,0.000475406,4.42604e-15,0.00059782,3.52786e-05
170,7.2,2.63827e-06,0.00450207,0.000160304,9.87863e-05,7.46701e-05,0.000491872,1.851e-15,0.00207472,0.000122433
180,7.2,2.64124e-06,0.00450178,0.000151446,9.17309e-05,6.73137e-05,0.000461721,2.6964e-15,-0.0038572,-0.000227622
190,7.2,2.64595e-06,0.00450217,0.00014241,8.6538e-05,6.44297e-05,0.000429054,5.22849e-16,0.00484101,0.000285678
200,7.2,2.6449e-06,0.00450215,0.000125126,8.20327e-05,5.9585e-05,0.000376965,-2.06823e-15,0.00293152,0.000172995
210,7.2,2.64212e-06,0.0045023,0.000109465,7.16286e-05,5.00159e-05,0.000331704,4.31698e-15,0.00253401,0.000149537
220,7.2,2.6423e-06,0.00450225,0.000100016,6.29416e-05,5.06152e-05,0.000311006,-3.25756e-16,-0.00362658,-0.000214012
