# Iteration    L2[rho]         L2[rhou]        L2[rhov]        L2[rhoE]        L2_total
# ----------------------------------------------------------------------------------------------------
       0  1.871339421159e-05  1.595452758380e-05  3.054857427070e-05  6.881588646941e-05  7.920593218872e-05
      10  2.471559129988e-05  1.894636315153e-05  2.238332863430e-05  8.691739809950e-05  9.500248745749e-05
      20  2.909040767298e-05  2.215184985142e-05  2.182037336513e-05  9.969928424470e-05  1.084114027357e-04
      30  3.440393268249e-05  2.685814703114e-05  2.522155903877e-05  1.172868616454e-04  1.276609791633e-04
      40  4.159856199273e-05  3.215041243862e-05  3.114390604366e-05  1.415986690784e-04  1.542213193701e-04
      50  5.082881995013e-05  3.791374689935e-05  3.902380123336e-05  1.722997743619e-04  1.876994684312e-04
      60  6.211332813260e-05  4.407922623087e-05  4.796096522145e-05  2.086636144683e-04  2.272483265170e-04
      70  7.416061936889e-05  4.526983415766e-05  5.330296666117e-05  2.426676731638e-04  2.632070690606e-04
      80  8.142508345139e-05  4.078366379914e-05  4.514179311866e-05  2.526689533368e-04  2.723467145280e-04
      90  8.527290598333e-05  4.555574788936e-05  3.542879641828e-05  2.582751772327e-04  2.780432726229e-04
     100  8.754632657223e-05  4.716080313774e-05  3.735905901653e-05  2.653019041907e-04  2.857784111978e-04
     110  8.959255660584e-05  4.600844134315e-05  4.784947183879e-05  2.748183370822e-04  2.965776343993e-04
     120  9.531771923860e-05  4.795516725639e-05  5.715988475676e-05  2.991735261377e-04  3.227339722349e-04
     130  1.050274449265e-04  6.130587212267e-05  6.661022889254e-05  3.387326217693e-04  3.660135049262e-04
     140  1.166513726838e-04  8.232561162700e-05  7.926761662669e-05  3.811773363003e-04  4.146861051849e-04
     150  1.350749856959e-04  1.114996000253e-04  8.238000985038e-05  4.476365528341e-04  4.876908467695e-04
     160  1.502594760599e-04  9.566626161003e-05  8.423863009402e-05  4.754062379346e-04  5.146233395635e-04
     170  1.603037297646e-04  9.878626741396e-05  7.467007941151e-05  4.918723802510e-04  5.319493130168e-04
     180  1.514459278108e-04  9.173093238348e-05  6.731373577853e-05  4.617208699181e-04  4.990668630041e-04
     190  1.424096492959e-04  8.653799730932e-05  6.442974065547e-05  4.290538462016e-04  4.647663150576e-04
     200  1.251259843120e-04  8.203266379112e-05  5.958496745148e-05  3.769653198081e-04  4.099257134688e-04
     210  1.094648208336e-04  7.162864862280e-05  5.001592449917e-05  3.317044114785e-04  3.600591890251e-04
     220  1.000161731359e-04  6.294155038227e-05  5.061520806958e-05  3.110063683114e-04  3.365289498267e-04
     230  8.532945504180e-05  6.004697118199e-05  4.685617687448e-05  2.619463380510e-04  2.858288648396e-04
     240  7.385655664883e-05  5.076546465999e-05  4.980032334339e-05  2.325865262120e-04  2.541819972827e-04
     250  6.342645130823e-05  4.877925428148e-05  4.649321817842e-05  1.987224839764e-04  2.192135382410e-04
     260  5.440034874149e-05  4.674049169850e-05  4.196772623236e-05  1.697805226393e-04  1.890258908726e-04
     270  4.620265340109e-05  3.777532850792e-05  3.713509836344e-05  1.460136776758e-04  1.620514431409e-04
     280  4.102851918480e-05  3.429328995461e-05  3.244685001586e-05  1.305713697861e-04  1.447793141515e-04
     290  3.505658618735e-05  2.789987645049e-05  3.121797707151e-05  1.093064186273e-04  1.221876531677e-04
     300  3.050902103582e-05  2.499755229206e-05  2.444306861230e-05  9.471284447756e-05  1.054687844690e-04
     310  2.687058429755e-05  2.171756167630e-05  2.177937722460e-05  8.400692196356e-05  9.340869871558e-05
     320  2.329318788692e-05  1.931765058071e-05  1.952639819452e-05  7.393087146638e-05  8.223623415577e-05
     330  2.009596200924e-05  1.675278957749e-05  1.861245507921e-05  6.463587447941e-05  7.217148606962e-05
     340  1.959730189516e-05  1.485949540738e-05  1.436516743343e-05  6.547071540895e-05  7.139769924081e-05
     350  1.565205171525e-05  1.346088538517e-05  1.621188641917e-05  5.150783543761e-05  5.781059185812e-05
     360  1.499485754176e-05  1.400418061387e-05  1.428801037419e-05  5.122000247821e-05  5.699647990608e-05
     370  1.586882614721e-05  1.342701936527e-05  1.161538216142e-05  5.526918667239e-05  6.018059978522e-05
     380  1.544177817717e-05  1.432958149614e-05  1.345841234053e-05  5.437081042998e-05  5.984228696055e-05
     390  1.659924947952e-05  1.098929896553e-05  1.367100155123e-05  5.529242323098e-05  6.033612620317e-05
     400  1.811496155044e-05  1.108744930110e-05  1.259069074835e-05  5.967531844271e-05  6.458136332362e-05
     410  1.938837251864e-05  1.143564333305e-05  1.333969934845e-05  6.346944553779e-05  6.865130022762e-05
     420  1.849347507414e-05  1.339972686752e-05  1.338069001969e-05  5.838287929395e-05  6.410276718283e-05
     430  1.943251767690e-05  1.163595500712e-05  1.249619807111e-05  6.123149493648e-05  6.647156633163e-05
     440  1.980404543111e-05  1.097202745986e-05  1.344615048440e-05  6.344271474221e-05  6.869033861270e-05
     450  1.870999151261e-05  1.191515907289e-05  1.640137516190e-05  5.997294095430e-05  6.601358611713e-05
     460  2.053317886096e-05  1.360578281470e-05  1.432719635427e-05  6.936487772236e-05  7.498988983155e-05
     470  1.899663337342e-05  1.761823761086e-05  1.901497175989e-05  6.459694844740e-05  7.214990835602e-05
     480  2.389664493685e-05  2.064938994918e-05  1.803414130127e-05  8.402711767998e-05  9.156000056024e-05
     490  2.428940722208e-05  2.597957717341e-05  2.201476787182e-05  8.501383721246e-05  9.474658967660e-05
     500  3.283126631435e-05  2.273178389302e-05  1.927836024399e-05  1.149818607298e-04  1.232359911606e-04
     510  3.267923536389e-05  2.295567429507e-05  2.403609257717e-05  1.110416060655e-04  1.204278515556e-04
     520  3.266340816720e-05  2.273986552401e-05  2.308297792946e-05  1.069896689253e-04  1.164629247614e-04
     530  3.280035620243e-05  2.134843346769e-05  1.973696406066e-05  1.055994121240e-04  1.143346079269e-04
     540  3.075426281410e-05  1.684858552280e-05  1.881143760859e-05  9.780647663871e-05  1.055920289261e-04
     550  3.013125681473e-05  1.787608001156e-05  1.765421289714e-05  9.636586803263e-05  1.040456564615e-04
     560  2.809514953983e-05  1.475305624021e-05  2.014165879968e-05  8.952415520602e-05  9.709403112780e-05
     570  2.734094648785e-05  1.610289781832e-05  1.794149663980e-05  8.807008715840e-05  9.531562425312e-05
     580  2.561637099658e-05  1.801495982076e-05  1.627800502730e-05  8.320393383134e-05  9.038033687178e-05
     590  2.550049454511e-05  1.792799866818e-05  1.489452723504e-05  8.402429579708e-05  9.084942258508e-05
     600  2.547835214907e-05  1.722312549893e-05  1.730828351847e-05  8.110408540763e-05  8.844903520304e-05
     610  2.540604589382e-05  1.650055791382e-05  1.754316725143e-05  7.840996424695e-05  8.586978973915e-05
     620  2.493239199209e-05  1.539169810885e-05  1.584230628638e-05  7.801186994651e-05  8.482546234560e-05
     630  2.407671443411e-05  1.489511237097e-05  1.341917813738e-05  7.549918210717e-05  8.174199282633e-05
     640  1.907558693907e-05  1.413065462805e-05  1.382677245901e-05  6.146441542240e-05  6.732464197556e-05
     650  1.892433780472e-05  1.349780443006e-05  1.388447332859e-05  6.150913032329e-05  6.720470964537e-05
     660  1.829480028899e-05  1.482076074956e-05  1.500672154561e-05  5.966584772910e-05  6.587541076600e-05
     670  1.752726057792e-05  1.541286798444e-05  1.590347192239e-05  5.677763328469e-05  6.341436291148e-05
     680  1.764572136474e-05  1.250254184737e-05  1.290759575108e-05  5.678805200559e-05  6.212224974830e-05
     690  1.584360613816e-05  1.166863446852e-05  9.897879256215e-06  5.319866409565e-05  5.757814482209e-05
     700  1.307170004241e-05  1.210486126135e-05  1.193198617117e-05  4.233922416308e-05  4.745923729766e-05
     710  1.396016164733e-05  9.033215520921e-06  1.207466881197e-05  4.616367561732e-05  5.053085858450e-05
     720  1.446177835456e-05  9.440604559243e-06  9.304697257578e-06  4.721029444765e-05  5.112394097201e-05
     730  1.323984970281e-05  8.884824779839e-06  9.985333371355e-06  4.170376376671e-05  4.575089645425e-05
     740  1.185976307325e-05  8.432752517247e-06  9.107160804668e-06  3.705470771378e-05  4.083818111580e-05
     750  1.199182059887e-05  7.314100967574e-06  8.926623819632e-06  3.791794847205e-05  4.140960351640e-05
     760  1.213651589215e-05  7.505514580179e-06  9.195949270741e-06  3.933307226100e-05  4.284021269313e-05
     770  1.169405530008e-05  7.838199499733e-06  9.053809073199e-06  3.865152515915e-05  4.212006833590e-05
     780  1.081206661886e-05  8.535704276035e-06  9.166818217752e-06  3.637110929667e-05  3.995806776818e-05
     790  1.089156219286e-05  8.590259623929e-06  7.652323536383e-06  3.635710712801e-05  3.965874407531e-05
     800  1.005671664999e-05  9.218005083689e-06  8.550116905250e-06  3.386839332299e-05  3.750042310262e-05
     810  1.018243308113e-05  9.091992858646e-06  8.891757212563e-06  3.513460006954e-05  3.872789364227e-05
     820  1.062106423053e-05  1.012354645159e-05  8.025409449582e-06  3.646931951885e-05  4.012121210965e-05
     830  1.162146453342e-05  1.082066451442e-05  8.487737080939e-06  4.086932703727e-05  4.465969986094e-05
     840  1.309050941079e-05  9.959823783412e-06  7.823334856486e-06  4.574822417605e-05  4.924087844433e-05
     850  1.142439127113e-05  9.375677894112e-06  8.327801039635e-06  3.775592138879e-05  4.139180984159e-05
     860  1.134840363398e-05  9.317181235656e-06  8.001095595224e-06  3.751825728692e-05  4.107594541565e-05
     870  1.216221529708e-05  7.826864057667e-06  7.297935766547e-06  3.976776185611e-05  4.294082010636e-05
     880  1.115685917806e-05  7.469969936098e-06  7.542620592225e-06  3.523962843290e-05  3.845774947982e-05
     890  1.105541121730e-05  7.880686150915e-06  7.538387327550e-06  3.501430644709e-05  3.830347596320e-05
     900  1.181765366817e-05  8.459767775912e-06  6.934023705860e-06  3.826997468280e-05  4.151982967233e-05
     910  1.171782965734e-05  7.288281261835e-06  7.125080228494e-06  3.792096531948e-05  4.097795693606e-05
     920  1.170090480269e-05  7.767067274107e-06  7.706969581586e-06  3.808709248657e-05  4.131903316214e-05
     930  1.173735291322e-05  1.036685851009e-05  9.222678220602e-06  3.956606191523e-05  4.354042096511e-05
     940  1.250593211102e-05  1.013448546283e-05  6.875367586684e-06  4.325908243158e-05  4.666610146387e-05
     950  1.176308336181e-05  1.048330066070e-05  8.042223859993e-06  3.935298115958e-05  4.314631170425e-05
     960  1.137621805377e-05  9.085426596488e-06  9.317239280287e-06  3.656177126280e-05  4.044177764796e-05
     970  1.238611790516e-05  7.877716232609e-06  7.596812812912e-06  3.905925854461e-05  4.241239880944e-05
     980  1.263055055991e-05  7.417796162747e-06  7.448373957745e-06  3.911746472474e-05  4.242886786687e-05
     990  1.223074007700e-05  7.542086252377e-06  7.100391702573e-06  3.850915912219e-05  4.171144886596e-05
    1000  1.133046271614e-05  7.744167244048e-06  5.918077867902e-06  3.729962515213e-05  4.018254837371e-05
    1010  9.595429666820e-06  7.217536362132e-06  6.960819420775e-06  3.118301208872e-05  3.413207218385e-05
    1020  9.725524410256e-06  7.557517914190e-06  6.380662374371e-06  3.248361302963e-05  3.532137978437e-05
    1030  9.125570234252e-06  5.707296284672e-06  7.180019579359e-06  2.876773834878e-05  3.154337828840e-05
    1040  8.936477789468e-06  5.324425876189e-06  6.172137957365e-06  2.890858077252e-05  3.133706232944e-05
    1050  7.238113636548e-06  6.495139973279e-06  6.236162459277e-06  2.311109230689e-05  2.583775226532e-05
    1060  8.400013342464e-06  5.696869960037e-06  5.882594673476e-06  2.827146061583e-05  3.060873987834e-05
    1070  8.288028413121e-06  5.553876521422e-06  4.456092523362e-06  2.705774242976e-05  2.918073243364e-05
    1080  7.389335092144e-06  4.990877732586e-06  6.557251325470e-06  2.292459602968e-05  2.545674334464e-05
    1090  7.780323821122e-06  4.947770491701e-06  6.173401357076e-06  2.433330817694e-05  2.674387112498e-05
    1100  8.515704302141e-06  4.999109210059e-06  6.071461520477e-06  2.716090954840e-05  2.953110165820e-05
    1110  8.528724724940e-06  5.184479713459e-06  6.148985788363e-06  2.641621324132e-05  2.890059382728e-05
    1120  8.424958611582e-06  5.457836756352e-06  5.128056373833e-06  2.694653665259e-05  2.920925725534e-05
    1130  8.275693275004e-06  5.716722010996e-06  5.563578821025e-06  2.650306562804e-05  2.888830051621e-05
    1140  7.946627921151e-06  6.207921058702e-06  5.300426670979e-06  2.655135259346e-05  2.889214472179e-05
    1150  5.893537243033e-06  6.067350206008e-06  6.775760189705e-06  1.921636166473e-05  2.206186758947e-05
    1160  7.719612401306e-06  5.748718100340e-06  4.693343946150e-06  2.693182616422e-05  2.898259673253e-05
    1170  5.622815850182e-06  6.545331399642e-06  6.608413322041e-06  1.811591786249e-05  2.112616926590e-05
    1180  7.329831334497e-06  4.758141148133e-06  5.967624197367e-06  2.475873046564e-05  2.692533393310e-05
    1190  7.955405315735e-06  4.076073993571e-06  3.980999964645e-06  2.618484528442e-05  2.795348522503e-05
    1200  7.194701885146e-06  4.855027227073e-06  5.252476344050e-06  2.284051394895e-05  2.499225099484e-05
    1210  7.376844957598e-06  4.907441507073e-06  5.158403051843e-06  2.339574216113e-05  2.554350596510e-05
    1220  7.352434975990e-06  4.794188040249e-06  4.248929389383e-06  2.368751017938e-05  2.561628541564e-05
    1230  6.395987658876e-06  4.615093456755e-06  5.065593658895e-06  2.049415950033e-05  2.253616113026e-05
    1240  6.559273741953e-06  5.337918694162e-06  4.549372200735e-06  2.202514126990e-05  2.402750680756e-05
    1250  6.278318884670e-06  4.837287858512e-06  5.434286222172e-06  2.091291695153e-05  2.301517334303e-05
    1260  6.254701023011e-06  4.748844132279e-06  5.104133513276e-06  2.070370437475e-05  2.272373999232e-05
    1270  6.051314962398e-06  4.550861754434e-06  4.837439332222e-06  1.935699022140e-05  2.134063366459e-05
    1280  6.483797116614e-06  4.999213073467e-06  4.349024591193e-06  2.124317384856e-05  2.317796812618e-05
    1290  6.608724388903e-06  5.140468237887e-06  4.499843854523e-06  2.139292531206e-05  2.340951729266e-05
    1300  6.696273339014e-06  5.020410736938e-06  4.408219235259e-06  2.186723197583e-05  2.382546603341e-05
    1310  6.125989720081e-06  4.961081300409e-06  4.505526424177e-06  1.972410468532e-05  2.171359370800e-05
    1320  6.232510209047e-06  4.162317839935e-06  4.451315906126e-06  2.007037737341e-05  2.188157522926e-05
    1330  6.250235037573e-06  3.859713859824e-06  3.638335953989e-06  2.018152240841e-05  2.178288696064e-05
    1340  5.806326430736e-06  3.915976927247e-06  3.721053634929e-06  1.863468086887e-05  2.025205849176e-05
    1350  5.439061011892e-06  3.684385369507e-06  3.657196257877e-06  1.744306872218e-05  1.899457320282e-05
    1360  5.419130021764e-06  3.619372866359e-06  3.893613815549e-06  1.734903773802e-05  1.893716370311e-05
    1370  5.276511204680e-06  3.740922240615e-06  3.439756711604e-06  1.646880026480e-05  1.802468801673e-05
    1380  5.213577118333e-06  3.602033529509e-06  3.203333428327e-06  1.740247426020e-05  1.879530492827e-05
    1390  4.253545513146e-06  3.799284548523e-06  4.089772824465e-06  1.375056138293e-05  1.543798538070e-05
    1400  4.721841117120e-06  3.552322338483e-06  3.016040703398e-06  1.590754767155e-05  1.723546784915e-05
    1410  4.287892346640e-06  3.700131011585e-06  4.386425139774e-06  1.382693057969e-05  1.557246689005e-05
    1420  5.516440688157e-06  3.052843239820e-06  2.624421483859e-06  1.827113220302e-05  1.950571274827e-05
    1430  4.860401096182e-06  3.511513640195e-06  3.503165289707e-06  1.537285980109e-05  1.686864583694e-05
    1440  5.069539079540e-06  3.132535655038e-06  3.197021740323e-06  1.579045405666e-05  1.717767136235e-05
    1450  5.206185462108e-06  3.104165438445e-06  2.813603572892e-06  1.614369444701e-05  1.747213340148e-05
